ID,MaterialType
31654,SOUNDDISC
31655,SOUNDCASS
31656,SOUNDDISC
31657,BOOK
31658,BOOK
31659,SOUNDDISC
31660,BOOK
31661,BOOK
31662,BOOK
31663,BOOK
31664,BOOK
31665,VIDEOCASS
31666,BOOK
31667,BOOK
31668,BOOK
31669,BOOK
31670,BOOK
31671,BOOK
31672,SOUNDDISC
31673,BOOK
31674,SOUNDDISC
31675,BOOK
31676,BOOK
31677,SOUNDDISC
31678,SOUNDDISC
31679,SOUNDDISC
31680,BOOK
31681,MIXED
31682,BOOK
31683,BOOK
31684,BOOK
31685,BOOK
31686,BOOK
31687,VIDEOCASS
31688,BOOK
31689,SOUNDCASS
31690,SOUNDDISC
31691,SOUNDDISC
31692,BOOK
31693,BOOK
31694,SOUNDDISC
31695,BOOK
31696,BOOK
31697,SOUNDCASS
31698,BOOK
31699,SOUNDDISC
31700,BOOK
31701,BOOK
31702,BOOK
31703,BOOK
31704,BOOK
31705,BOOK
31706,VIDEODISC
31707,BOOK
31708,BOOK
31709,SOUNDDISC
31710,BOOK
31711,BOOK
31712,SOUNDDISC
31713,SOUNDDISC
31714,BOOK
31715,BOOK
31716,SOUNDDISC
31717,VIDEOCASS
31718,BOOK
31719,BOOK
31720,BOOK
31721,BOOK
31722,SOUNDDISC
31723,VIDEODISC
31724,BOOK
31725,SOUNDCASS
31726,BOOK
31727,BOOK
31728,BOOK
31729,BOOK
31730,BOOK
31731,BOOK
31732,SOUNDCASS
31733,BOOK
31734,BOOK
31735,BOOK
31736,BOOK
31737,SOUNDDISC
31738,SOUNDDISC
31739,SOUNDDISC
31740,SOUNDDISC
31741,BOOK
31742,MUSIC
31743,VIDEOCASS
31744,SOUNDDISC
31745,SOUNDDISC
31746,BOOK
31747,SOUNDCASS
31748,SOUNDDISC
31749,BOOK
31750,VIDEOCASS
31751,SOUNDDISC
31752,BOOK
31753,BOOK
31754,SOUNDDISC
31755,BOOK
31756,SOUNDDISC
31757,SOUNDDISC
31758,BOOK
31759,BOOK
31760,BOOK
31761,BOOK
31762,BOOK
31763,BOOK
31764,SOUNDDISC
31765,SOUNDDISC
31766,BOOK
31767,BOOK
31768,SOUNDDISC
31769,BOOK
31770,BOOK
31771,BOOK
31772,SOUNDDISC
31773,BOOK
31774,SOUNDDISC
31775,SOUNDDISC
31776,SOUNDCASS
31777,SOUNDDISC
31778,VIDEODISC
31779,BOOK
31780,BOOK
31781,BOOK
31782,BOOK
31783,BOOK
31784,BOOK
31785,SOUNDDISC
31786,BOOK
31787,SOUNDDISC
31788,VIDEOCASS
31789,BOOK
31790,SOUNDDISC
31791,SOUNDDISC
31792,MUSIC
31793,BOOK
31794,BOOK
31795,BOOK
31796,BOOK
31797,BOOK
31798,VIDEOCASS
31799,BOOK
31800,BOOK
31801,BOOK
31802,BOOK
31803,VIDEODISC
31804,BOOK
31805,VIDEOCASS
31806,BOOK
31807,BOOK
31808,BOOK
31809,SOUNDDISC
31810,SOUNDDISC
31811,VIDEOCASS
31812,BOOK
31813,BOOK
31814,SOUNDDISC
31815,SOUNDDISC
31816,SOUNDDISC
31817,SOUNDCASS
31818,BOOK
31819,BOOK
31820,BOOK
31821,SOUNDDISC
31822,SOUNDDISC
31823,BOOK
31824,BOOK
31825,BOOK
31826,BOOK
31827,VIDEODISC
31828,SOUNDDISC
31829,VIDEODISC
31830,BOOK
31831,BOOK
31832,BOOK
31833,BOOK
31834,BOOK
31835,BOOK
31836,VIDEOCASS
31837,BOOK
31838,SOUNDCASS
31839,SOUNDDISC
31840,SOUNDDISC
31841,BOOK
31842,SOUNDDISC
31843,VIDEODISC
31844,BOOK
31845,BOOK
31846,SOUNDDISC
31847,BOOK
31848,BOOK
31849,SOUNDDISC
31850,SOUNDDISC
31851,SOUNDCASS
31852,BOOK
31853,BOOK
31854,BOOK
31855,BOOK
31856,BOOK
31857,BOOK
31858,SOUNDCASS
31859,SOUNDDISC
31860,SOUNDDISC
31861,BOOK
31862,BOOK
31863,VIDEOCASS
31864,SOUNDDISC
31865,VIDEODISC
31866,SOUNDDISC
31867,BOOK
31868,BOOK
31869,BOOK
31870,BOOK
31871,BOOK
31872,BOOK
31873,BOOK
31874,SOUNDDISC
31875,BOOK
31876,BOOK
31877,BOOK
31878,BOOK
31879,BOOK
31880,SOUNDDISC
31881,BOOK
31882,SOUNDCASS
31883,BOOK
31884,BOOK
31885,MIXED
31886,BOOK
31887,BOOK
31888,VIDEOCASS
31889,BOOK
31890,BOOK
31891,BOOK
31892,SOUNDDISC
31893,BOOK
31894,BOOK
31895,BOOK
31896,VIDEOCASS
31897,BOOK
31898,SOUNDDISC
31899,SOUNDDISC
31900,BOOK
31901,SOUNDDISC
31902,BOOK
31903,BOOK
31904,BOOK
31905,VIDEODISC
31906,SOUNDDISC
31907,SOUNDDISC
31908,SOUNDDISC
31909,SOUNDDISC
31910,BOOK
31911,VIDEOCASS
31912,VIDEOCASS
31913,SOUNDDISC
31914,BOOK
31915,SOUNDDISC
31916,SOUNDDISC
31917,BOOK
31918,BOOK
31919,VIDEOCASS
31920,SOUNDDISC
31921,BOOK
31922,BOOK
31923,BOOK
31924,BOOK
31925,SOUNDDISC
31926,BOOK
31927,SOUNDDISC
31928,BOOK
31929,BOOK
31930,SOUNDDISC
31931,VIDEOCASS
31932,SOUNDDISC
31933,VIDEOCASS
31934,MIXED
31935,VIDEOCASS
31936,BOOK
31937,BOOK
31938,BOOK
31939,SOUNDDISC
31940,BOOK
31941,VIDEODISC
31942,BOOK
31943,BOOK
31944,VIDEODISC
31945,SOUNDCASS
31946,BOOK
31947,SOUNDDISC
31948,SOUNDDISC
31949,MIXED
31950,BOOK
31951,BOOK
31952,BOOK
31953,SOUNDDISC
31954,BOOK
31955,BOOK
31956,MIXED
31957,BOOK
31958,SOUNDDISC
31959,BOOK
31960,BOOK
31961,BOOK
31962,BOOK
31963,BOOK
31964,SOUNDCASS
31965,SOUNDDISC
31966,SOUNDDISC
